t,input,std_recon,dsl_recon
0,-0,-0.0216425,-1.13408e-09
1,-0,-0.00606664,5.62791e-11
2,-0,-0.0288203,4.2438e-10
3,-0,-0.0290382,-3.73509e-10
4,-0,0.0144078,-4.51422e-10
5,-0,0.0115607,-6.53123e-10
6,-0,0.0381489,-1.61827e-10
7,-0,0.0164274,1.01585e-09
8,-0,0.0160133,4.67017e-10
9,-0,-0.00539352,-1.01866e-09
10,-0,0.0033851,5.00276e-10
11,-0,-0.068721,2.83517e-10
12,-0,-0.0217994,-8.74854e-10
13,-0,-0.0174973,8.57229e-11
14,-0,0.0371909,1.52864e-10
15,-0,-0.00456315,-4.16506e-10
16,-0,-0.0496467,5.61379e-10
17,-0,-0.0334971,-5.30036e-10
18,-0,-0.0136496,-1.33977e-10
19,-0,-0.0249667,-2.17344e-10
20,-0,0.0452721,-6.28549e-10
21,-0,-0.00941952,-6.8245e-10
22,-0,-0.0186972,1.70082e-09
23,-0,0.0577744,2.51686e-10
24,-0,-0.15012,-6.69142e-10
25,-0,-0.106007,-1.64569e-09
26,-0,-0.0174425,4.09349e-12
27,-0,-0.00921288,1.23372e-09
28,-0,-0.0222845,1.12905e-10
29,-0,0.0358904,3.8277e-10
30,-0,0.0225584,1.41645e-10
31,-0,-0.0123377,2.2845e-10
32,-0,-0.00823373,-6.68886e-10
33,-0,-0.00126146,-4.08019e-10
34,-0,0.0427719,-2.4715e-10
35,-0,-0.0637775,4.52683e-10
36,-0,0.0365102,-8.42242e-11
37,-0,-0.0202361,-8.93383e-10
38,-0,-0.0767687,-1.53925e-09
39,-0,-0.0197776,-8.72604e-10
40,-0,-0.0218245,1.37204e-10
41,-0,-0.0315117,1.07151e-10
42,-0,-0.0521308,3.59251e-10
43,-0,0.0113769,1.64159e-10
44,-0,-0.0214458,2.56014e-10
45,-0,-0.0529203,3.08396e-10
46,-0,-0.0405144,-8.349e-10
47,-0,-0.0127384,3.07412e-10
48,-0,-0.0261809,-3.70925e-10
49,-0,-0.0522307,8.55779e-10
50,-0,-0.0268614,1.14748e-09
51,-0,0.00467503,-1.99414e-11
52,-0,0.0500944,-5.72798e-10
53,-0,-0.0402828,-3.0463e-10
54,-0,-0.0174624,-7.91906e-10
55,-0,-0.065523,-1.7967e-10
56,-0,0.00382751,-4.4981e-10
57,-0,0.0465819,-3.73316e-10
58,-0,0.0396283,6.11083e-10
59,-0,0.0474494,-1.10078e-10
60,-0,0.0812532,2.00464e-10
61,-0,-0.0603389,-3.62481e-10
62,-0,0.00392582,2.12815e-10
63,-0,0.0768371,1.67377e-10
64,-0,-0.0617575,-7.93128e-10
65,-0,-0.0344405,-2.31544e-11
66,-0,0.0384759,-8.52529e-10
67,-0,0.0208421,3.74556e-10
68,-0,-0.0603817,-5.06095e-10
69,-0,0.0392311,1.69428e-11
70,-0,-0.039292,5.66016e-10
71,-0,0.0575773,-4.27342e-10
72,-0,0.0369931,-7.68751e-10
73,-0,-0.0133344,1.30722e-09
74,-0,-0.00265325,-8.16136e-10
75,-0,0.074138,2.40014e-10
76,-0,0.0148028,1.11156e-09
77,-0,-0.040595,-5.24874e-10
78,-0,0.0108638,-7.65628e-10
79,-0,0.0149772,-8.65583e-10
80,-0,-0.0649296,8.45679e-10
81,-0,-0.0367634,5.55785e-10
82,-0,0.0833649,1.67799e-11
83,-0,0.0360945,-1.05127e-09
84,-0,-0.00501385,6.97231e-10
85,-0,-0.0430052,4.90729e-10
86,-0,0.0408454,-7.89036e-10
87,-0,-0.031768,8.88889e-10
88,-0,-0.0213478,1.29969e-09
89,-0,0.0238654,-1.04964e-10
90,-0,-0.0332543,-2.43495e-11
91,-0,0.0832551,7.51319e-10
92,-0,9.1801e-05,-1.33969e-10
93,-0,-0.00371387,6.17838e-12
94,-0,0.026987,-2.32414e-10
95,-0,-0.0439371,-9.02385e-10
96,-0,-0.0180509,1.19957e-09
97,-0,0.0895188,3.87721e-10
98,-0,-0.0362267,4.06076e-10
99,-0,-0.0376274,-5.15511e-10
100,-0,-0.101523,-7.05073e-11
101,-0,0.027797,-2.19791e-10
102,-0,-0.0017479,2.30094e-10
103,-0,-0.0295674,1.63544e-10
104,-0,-0.0138599,-2.26039e-10
105,-0,-0.0273487,-3.97122e-10
106,-0,-0.0777727,3.85752e-10
107,-0,-0.0565059,-4.83407e-10
108,-0,-0.0181836,2.89344e-10
109,-0,-0.0443832,-1.34826e-09
110,-0,0.0409583,-6.49187e-10
111,-0,-0.0253759,7.7172e-10
112,-0,-0.0537698,1.11496e-09
113,-0,-0.0759002,2.87088e-10
114,-0,0.0135758,5.81349e-11
115,-0,0.0226181,1.83287e-10
116,-0,-0.0637855,-7.01263e-10
117,-0,-0.037011,1.2952e-10
118,-0,0.0528117,4.31393e-10
119,-0,0.0312129,6.23648e-10
120,-0,-0.0288914,3.12803e-10
121,-0,0.0371163,1.26185e-09
122,-0,-0.0661725,1.20692e-09
123,-0,-0.0252549,5.00252e-10
124,-0,-0.0254689,1.71971e-09
125,-0,0.0463901,-1.26332e-09
126,-0,-0.072585,5.82377e-10
127,-0,0.0177203,1.56188e-10
128,-0,0.0111663,-8.02926e-11
129,-0,-0.0123511,-1.54077e-12
130,-0,0.0273708,-1.68767e-10
131,-0,0.0082843,3.72361e-10
132,-0,-0.0776463,2.54624e-10
133,-0,-0.0515452,-2.44829e-10
134,-0,0.0308188,7.16801e-11
135,-0,-0.0282063,-2.35481e-10
136,-0,-0.0729769,1.4707e-09
137,-0,0.0424702,2.39183e-11
138,-0,0.00924474,-1.03783e-09
139,-0,0.0459309,-1.51705e-10
140,-0,-0.0048544,1.01401e-09
141,-0,0.00938389,1.10532e-09
142,-0,-0.00295678,8.83308e-10
143,-0,0.0370771,-9.94999e-11
144,-0,-0.00286146,-3.38659e-10
145,-0,0.0103339,1.06813e-09
146,-0,-0.0533104,-7.74836e-10
147,-0,0.0179725,-8.18821e-10
148,-0,0.00876034,-1.39337e-09
149,-0,-0.00998363,4.36487e-11
150,-0,0.0239103,-1.2156e-09
151,-0,0.0253544,1.92331e-10
152,-0,0.000181616,1.59597e-09
153,-0,0.0222327,7.38755e-10
154,-0,0.0164813,7.85624e-10
155,-0,0.0304579,-8.59881e-10
156,-0,-0.0426582,-6.16193e-10
157,-0,0.0156478,-1.15932e-10
158,-0,-0.0254655,-6.61293e-10
159,-0,0.0256593,2.47649e-10
160,-0,0.0504034,7.99694e-10
161,-0,-0.0631438,-7.59895e-10
162,-0,-0.0185065,-1.17652e-09
163,-0,0.0806829,4.11759e-10
164,-0,-0.0516909,-4.36274e-10
165,-0,-0.00073163,4.58399e-10
166,-0,-0.065285,-3.80018e-10
