=== Training Comparative Autoencoders on Wavelets (128x128) ===
Init Generator...
Allocating Batches...
Initializing ZenithHierarchicalAE...
Initializing ConvBaselineAE...
Initializing Optimizers...
Epoch 1/10 | Loss Z: 1.4543 | Time Z: 0.17738s | Loss C: 3.822 | Time C: 7.1783s
Epoch 2/10 | Loss Z: 1.5031 | Time Z: 0.33623s | Loss C: 0.692 | Time C: 14.382s
Epoch 3/10 | Loss Z: 1.7734 | Time Z: 0.49521s | Loss C: 0.32348 | Time C: 21.508s
Epoch 4/10 | Loss Z: 1.5599 | Time Z: 0.65566s | Loss C: 0.51013 | Time C: 28.651s
Epoch 5/10 | Loss Z: 1.6388 | Time Z: 0.81693s | Loss C: 0.53465 | Time C: 35.772s
Epoch 6/10 | Loss Z: 1.9698 | Time Z: 0.97727s | Loss C: 0.48496 | Time C: 42.931s
Epoch 7/10 | Loss Z: 1.8191 | Time Z: 1.1363s | Loss C: 0.20843 | Time C: 51.59s
Epoch 8/10 | Loss Z: 1.9374 | Time Z: 1.3653s | Loss C: 0.18694 | Time C: 60.127s
Epoch 9/10 | Loss Z: 1.5021 | Time Z: 1.5278s | Loss C: 0.14881 | Time C: 67.493s
Epoch 10/10 | Loss Z: 1.5301 | Time Z: 1.6856s | Loss C: 0.12889 | Time C: 74.696s

Training Complete. Running Evaluation...
